"","term","content","mycoID","internal_variable_num"
"85","SPORE MASS","  rusty brown and powdery when mature, sticking to everything with which it comes into contact, (Arora), a flattened sticky mass (Schalkwijk-Barendsen)",5,13
"86","STEM","  10-40cm x 0.4-1.5cm, not continuing into spore mass, equal or narrowing downward ""(but volva-encased base may be swollen)"", ""rigid and tough or even woody, hollow""; ""white to brownish or rusty brown""; ""longitudinally striate or grooved and covered with fibers that often peel or split"" to form fine to very coarse needle-like, ribbon-like, or shaggy scales; volva sac-like, ""whitish or dirt-incrusted, often loose, buried in ground and soon rotting away""^, (Arora), 10-25(35)cm x 0.5-1.5(2)cm, surface with long ragged overlapping brownish scales; 2-layered non-gelatinous volva at base, (Smith), basal volva gelatinous at first inside volva, then dry, (Courtecuisse), shaggy, twisted, a mixture of yellow brown and some blue colors; extensive greenish yellow mycelial cords at base, (Schalkwijk-Barendsen)",5,14
"87","ODOR","  spore mass sometimes has unpleasant odor when old^ (Arora)",5,15
"88","TASTE",NA,5,16
"89","EDIBILITY","  not edible (Arora)",5,17
"90","HABITAT","  single, widely scattered, or in groups ""in sand, poor soil, and waste places (but often under trees in deep shade)""^, (Arora), single to scattered on soil in arid regions, (Smith), dry places on sandy soils, sometimes on woody debris or sawdust, (Courtecuisse), fruits in all seasons during wet periods, mature fruitbodies persist a long time, (Schalkwijk-Barendsen), spring, summer, winter, fall",5,18
"91","SPORE DEPOSIT",NA,6,1
"92","MICROSCOPIC","  spores (4)5-8(10) x (4)5-8(10) microns, round to broadly elliptic, warted; capillitium of two types: ""simple, short hyphae up to 10 microns long, and elators (elongated cells with internal spirals) up to 100 microns long""^, (Arora), spores 5.7 x 5.7 microns, round, punctate, pale brown, wall about 1 micron thick; capillitial threads of two types: 1) simple colorless threads and 2) 'fusiform or cylindric ""elators"" with inner wall having annular to spiral thickenings', (Smith)",6,2
"93","NAME ORIGIN","  'phalloides' means 'like a phallus (or Phallus)'; ""stevenii"" after Finnish botanist Christian von Steven^, (Schalkwijk-Barendsen)",6,3
"94","SIMILAR","  See also SIMILAR section of Chlamydopus meyenianus.",6,4
"95","SOURCES","  Arora(1)*, Smith(4) (as Battarrea stevenii), McKnight(1)* (as Battarrea stevensii), Miller(14)* (as Battarrea stevenii), Lincoff(2)*, Schalkwijk-Barendsen(1)* (as Battarraea stevenii), Courtecuisse(1)*, Martin, M.P.(1), Esqueda(1), Trueblood(1), Buczacki(1)*, Desjardin(6)*, Siegel(2)*",6,5
"96","MUSHROOM_ID","6",6,6
"97","FAMILY","  Agaricaceae, Order Agaricales, Class Agaricomycetes, Phylum Basidiomycota",6,7
"98","LATIN NAME(S)","  Bovista leucoderma  Kreisel^  Feddes Repert. 69: 203. 1964",6,8
"99","ENGLISH NAME(S)",NA,6,9
"100","NOTES","  Bovista leucoderma forms a small, white, spherical or somewhat depressed fruitbody that is smooth at first but becomes areolate [cracked like dried mud] and then peels off in small plaques from the base up, revealing a papery red-brown to bronze brown inner layer. The inner layer has a small opening with star-shaped flaps. The powdery spore mass is olive brown to umber-brown.^ The description is derived from Ramsey(1). RANGE Wicklow-Howard(1) notes 5 collections from Owyhee County in OR. There is a 1975 collection at the New York Botanical Garden by E. Trueblood from Owyhee County, OR, (in a grassy area with scattered Artemisia), and there are other collections there from CA and ND.",6,10
"101","CHEMICAL REACTIONS",NA,6,11
"102","OUTER SURFACE","  fruitbody up to 2cm across, spherical or somewhat depressed, outer layer smooth, later indistinctly areolate [cracked like dried mud], finally peeling off in small plaques from the base upward; pure white",6,12
"103","INNER LAYER","  papery; red-brown to bronze brown; dull to slightly glistening; opening with opening 0.1-0.3cm with star-shaped flaps",6,13
"104","SPORE MASS","  olive-brown to umber-brown; powdery",6,14
"105","STEM","  base attached to substrate without conspicuous mycelial strands",6,15
"106","ODOR",NA,6,16
"107","TASTE",NA,6,17
"108","EDIBILITY",NA,6,18
"109","HABITAT",NA,7,1
"110","SPORE DEPOSIT",NA,7,2
"111","MICROSCOPIC",NA,7,3
"112","NAME ORIGIN","  means 'white skin'",7,4
"113","SIMILAR","  Two collections of Bovista dakotensis (Brenckle) Kreisel, and one of Bovista minor Morgan were reported from Owyhee County, Oregon, (Wicklow-Howard). The South Idaho Mycological Society also mentions these for Idaho as well as Bovista aestivalis (Bonorden) Demoulin, and Bovista californica Kreisel (SIMA website, accessed September 15, 2004).",7,5
"114","SOURCES","  Ramsey(1), Wicklow-Howard(1)",7,6
"115","MUSHROOM_ID","7",7,7
"116","FAMILY","  Agaricaceae, Order Agaricales, Class Agaricomycetes, Phylum Basidiomycota",7,8
"117","LATIN NAME(S)","  Bovista pila  Berk. & M.A. Curtis^  Grevillea 2(no. 14): 49. 1873",7,9
"118","ENGLISH NAME(S)","  tumbling puffball",7,10
"119","NOTES","  Bovista pila is 3-9cm across and spherical. The exterior is white becoming pinkish then flaking off in patches to reveal a shiny bronze-metallic or copper-metallic inner layer that is thin, tough, and persistent, with cracks or a pore opening at top. The spore mass inside is white at first then brown to purplish brown. The fruitbody is attached to the ground by a small cord that breaks when mature allowing the spore case to roll about releasing spores. Spores are round and smooth.^ RANGE B. pila is found in BC (in Redhead(5)) and there are collections from BC at the University of British Columbia. The New York Botanical Garden has collections from WA, OR, and ID. Desjardin(6) illustrate it for CA.",7,11
"120","CHEMICAL REACTIONS",NA,7,12
"121","OUTER SURFACE","  2.5-9cm wide, spherical or nearly so; white or slightly pinkish, flaking off when mature^, (Ammirati), white becoming dark pinkish and flaking off in patches, (Lincoff)",7,13
"122","INNER LAYER","  ""thin, tough, persistent""; ""shiny bronze or coppery metallic""; cracks open at top^, (Ammirati), bronze; smooth, shiny; ""with cracks or pore opening at top"", (Lincoff)",7,14
"123","SPORE MASS","  ""white at first then brown to purplish brown at maturity""^, (Ammirati)",7,15
"124","STEM","  attached to ground by small cord that breaks when mature; ""commonly becomes detached and is blown about, dumping spores as it tumbles along""^, (Ammirati)",7,16
"125","ODOR","  none^ (Miller)",7,17
"126","TASTE","  unknown^ (Miller)",7,18
"127","EDIBILITY",NA,8,1
"128","HABITAT","  single or in groups, in grassy areas, stables, corrals, or open woods, summer and fall; old spore cases can last the winter^, (Ammirati), June to October, (Lincoff)",8,2
"129","SPORE DEPOSIT",NA,8,3
"130","MICROSCOPIC","  spores 3.5-4.3 microns, ""round, smooth, with short colorless stalk"", (Lincoff)",8,4
"131","NAME ORIGIN","  means 'ball'",8,5
"132","SIMILAR","  Bovista plumbea is somewhat smaller, ""attached to the soil by a small patch of fibers rather than a small cord"", and the spore case is ""bluish gray to purplish umber"", (Ammirati).",8,6
"133","SOURCES","  Ammirati(1)*, Lincoff(2)*, Miller(14)*, Redhead(5), Desjardin(6)*, Siegel(2)*",8,7
"134","MUSHROOM_ID","8",8,8
"135","FAMILY","  Agaricaceae, Order Agaricales, Class Agaricomycetes, Phylum Basidiomycota",8,9
"136","LATIN NAME(S)","  Bovista plumbea  Pers.: Pers.^  Observ. mycol. 1: 5. 1796",8,10
"137","ENGLISH NAME(S)","  lead-colored puffball, tumbling puffball, tumble-ball, grey puffball",8,11
"138","NOTES","  Features include 1) a spherical or slightly flattened fruitbody, with a thin, fragile, white outer layer that splits up into egg-shell-like pieces when mature and scales off, 2) smooth papery inner layer that is blue-gray to purplish brown or lead-colored when old and usually with a metallic luster, rupturing to form a circular opening at the top, 3) spore mass that is white and firm at first, then yellow-olive and mushy, finally olive-brown, chocolate brown or reddish brown, and powdery, 4) attachment by a small mycelial tuft, 5) growth in grassy places in spring to fall, and 6) oval, finely warted spores with a tail-like extension.^ Bovista plumbea widely distributed and common, (Arora). RANGE It is known from many parts of the United States, and reported from ID, AZ, IL, MA, MI, MT, NC, ND, NY, OH, SC, WI, and WY, and also from Europe, United Kingdom, and Russia, (Bates). The University of British Columbia has collections from BC, AZ, and WY. Oregon State University has collections from WA, OR, CA, and OH. The University of Washington also has collections from AK.",8,12
"139","CHEMICAL REACTIONS",NA,8,13
"140","OUTER SURFACE","  2-4cm across, nearly spherical, outer layer thin, fragile; pure white; barely areolate [cracked like dried mud]; soon separating from the inner layer, (Lincoff), 1-4(8)cm across, spherical or slightly flattened; white; ""smooth, felty, or with small flattened scales"", peeling away or shriveling when old, (Arora), 1.5-4cm across, spherical; white; smooth, splitting up into eggshell-like pieces when mature, and scaling off, (Breitenbach)",8,14
"141","INNER LAYER","  at first yellowish, gray as soon as it opens, then blackish; smooth; developing an opening at the top^, (Lincoff), smooth, papery; blue-gray to purplish brown or lead-colored when old and usually with metallic luster; rupturing at top to form a large circular opening, (Arora), lead-white to gray-white, black-brown when old; smooth and when dry parchment-like; at top developing a rounded lobed opening 0.5-1cm across, (Breitenbach)",8,15
"142","SPORE MASS","  white, yellowish, then powdery when mature^, (Lincoff), ""white and firm at first, then yellow-olive and mushy, finally powdery and olive-brown to deep chocolate-brown"", (Arora), white, then olive-brown to reddish brown, (Breitenbach)",8,16
"143","STEM","  attached to soil by small mycelial tuft; no sterile base^, (Lincoff), usually with a small patch of fibers holding soil at base; sterile base absent, (Arora)",8,17
"144","ODOR",NA,8,18
"145","TASTE","  slightly acrid [peppery], (Lincoff)",9,1
"146","EDIBILITY","  edible when immature, (Arora)",9,2
"147","HABITAT","  single, scattered, or gregarious in grassy places, (Arora), usually gregarious, meadows and pastures, (Breitenbach), spring, summer, fall (Lincoff)",9,3
"148","SPORE DEPOSIT","  olive-reddish-brown^ (Breitenbach)",9,4
"149","MICROSCOPIC","  spores 5-7 x 4-6 microns, oval, finely warty, with a pedicel [tail-like extension]^, (Lincoff), spores 5-7 x 4-5 microns, ""oval or broadly elliptic to nearly round, minutely spiny to nearly smooth, with long pointed pedicel"" 8-14 microns long, (Arora), spores 4-6.5 x 3.5-5.5 microns, subglobose-oval, smooth, brown, with droplet, (illustrated with long pedicels); basidia 4-spored, 10-20 x 7-10 microns, without basal clamp connection; capillitium up to 25 microns across, brown, thick-walled, ""strongly dichotomously branched, without pores and primary septa"", (Breitenbach)",9,5
"150","NAME ORIGIN","  from Latin meaning ""lead-like"", from the color of the endoperidium, (Lincoff(1))",9,6
"151","SIMILAR","  See also SIMILAR section of Bovista pila.",9,7
"152","SOURCES","  Breitenbach(2)*, Arora(1)*, Lincoff(1)*, Ammirati(1), Schalkwijk-Barendsen(1)*, Courtecuisse(1)*, Bates(1), Bacon(1)*, AroraPocket*, Buczacki(1)*, Desjardin(6)*",9,8
"153","MUSHROOM_ID","9",9,9
"154","FAMILY","  Agaricaceae, Order Agaricales, Class Agaricomycetes, Phylum Basidiomycota",9,10
"155","LATIN NAME(S)","  Bovistella utriformis  (Bull.) Demoulin & Rebriev^  Lejeunia 197: 6. 2017;  Calvatia utriformis  (Bull.) Jaap  Verhandlungen des Botanischen Vereins der Provinz Brandenberg 59: 37. 1918;  Lycoperdon utriforme  Bull.  Herbier de la France 10: t. 450:1. 1790;  Calvatia bovista  (Pers.) Kambly & Lee  Univ. of Iowa Stud. in Nat. Hist. 17(4): 138. 1936",9,11
"156","ENGLISH NAME(S)",NA,9,12
